# reference	source	provenance
# Audemars Piguet official 'standup' renders (dynamicmedia.audemarspiguet.com). The DAM holds these at
# 400px; wid/hei only pad the canvas, so they are fetched at native size. Matched to our references by
# the reference number shown against each render on 57 Jewellers' catalogue (their image source for AP).
# Four references 57 Jewellers lists could not be verified as real AP references (26405CE.OO.A002CA.03,
# 26421TI.OO.A001CA.01, 15720ST.OO.A001CA.01, 26600OR.OO.D002CR.02 — AP's site and every reference
# database know only other suffixes), so their renders are deliberately not carried.
15412OR.YG.1224OR.01-B	https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/standup-1019?fmt=png-alpha	standup-1019 — Audemars Piguet Royal Oak Frosted Gold 41mm Rose Gold
15412BC.YG.1224BC.03-B	https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/standup-1048?fmt=png-alpha	standup-1048 — Audemars Piguet Royal Oak Frosted Gold 41mm White Gold
15412BA.YG.1224BA.01-B	https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/standup-1036?fmt=png-alpha	standup-1036 — Audemars Piguet Royal Oak Frosted Gold 41mm Yellow Gold
26730ST.OO.1320ST.05	https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/standup-1132?fmt=png-alpha	standup-1132 — Audemars Piguet Royal Oak Flying Tourbillon 41mm Steel
26730TI.OO.1320TI.02	https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/standup-875?fmt=png-alpha	standup-875 — Audemars Piguet Royal Oak Flying Tourbillon 41mm Titanium
26400IO.OO.A004CA.02	https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/standup-978?fmt=png-alpha	standup-978 — Audemars Piguet Royal Oak Offshore Chronograph 44mm Black Dial
26400IO.OO.A004CA.01	https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/standup-969?fmt=png-alpha	standup-969 — Audemars Piguet Royal Oak Offshore Chronograph 44mm Blue Dial
26401RO.OO.A002CA.02	https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/standup-970?fmt=png-alpha	standup-970 — Audemars Piguet Royal Oak Offshore Chronograph 44mm Rose Gold Rose Gold Black
26400SO.OO.A055CA.01	https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/standup-975?fmt=png-alpha	standup-975 — Audemars Piguet Royal Oak Offshore Chronograph 44mm Titanium Green Camo
15720ST.OO.A027CA.01	https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/standup-979?fmt=png-alpha	standup-979 — Audemars Piguet Royal Oak Offshore Diver 42mm Blue Dial
15720ST.OO.A052CA.01	https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/standup-980?fmt=png-alpha	standup-980 — Audemars Piguet Royal Oak Offshore Diver 42mm Green Dial
15720CE.OO.A002CA.01	https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/standup-977?fmt=png-alpha	standup-977 — Audemars Piguet Royal Oak Offshore Diver 42mm Ceramic Black Ceramic
26400SO.OO.A054CA.01	https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/standup-974?fmt=png-alpha	standup-974 — Audemars Piguet Royal Oak Offshore Chronograph 44mm Camo
26393BC.OO.A002CR.01	https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/standup-1100?fmt=png-alpha	standup-1100 — Audemars Piguet Code 11.59 Chronograph 41mm White Gold Blue
26393OR.OO.A002CR.01	https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/standup-1101?fmt=png-alpha	standup-1101 — Audemars Piguet Code 11.59 Chronograph 41mm Rose Gold Grey
15210BC.OO.A002CR.01	https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/standup-1108?fmt=png-alpha	standup-1108 — Audemars Piguet Code 11.59 Selfwinding 41mm White Gold Blue Lacquer
15210OR.OO.A002CR.01	https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/standup-1107?fmt=png-alpha	standup-1107 — Audemars Piguet Code 11.59 Selfwinding 41mm Rose Gold Smoked
